user_id,gender,age_group,top_genre,subscription_plan,payment_method,auto_renewal_enabled,previous_subscription_plan,device_type,network_type,buffering_time_avg,is_churned
1,Male ,46+,Rock,Premium,Auto-Debit,No,Family,iOS,WiFi,3.5,No
2,Female,18-25,HipHop,Family,Wallet,No,Family,Android,5G,4.56,No
3,Male ,18-25,Pop,Free,Wallet,Yes,Free,Android,5G,2.17,No
4,Male ,18-25,Rock,Free,UPI,No,Free,Android,5G,2.2,No
5,Female,26-35,HipHop,Free,Auto-Debit,Yes,Free,Android,5G,0.83,Yes
6,Female,18-25,HipHop,Premium,UPI,No,Free,Web,WiFi,4.53,Yes
7,Female,26-35,Jazz,Free,Auto-Debit,No,Free,Android,4G,3.24,Yes
8,Male ,18-25,EDM,Free,UPI,No,Family,Android,4G,0.9,No
9,Female,18-25,Jazz,Premium,Wallet,No,Premium,Android,5G,2.8,No
10,Male ,18-25,Rock,Free,Card,No,Free,Android,4G,1.64,No
11,Female,36-45,Classical,Free,UPI,Yes,Free,iOS,4G,0.74,Yes
12,Female,18-25,Rock,Family,Card,Yes,Premium,iOS,5G,0.91,No
13,Female,18-25,Rock,Family,Wallet,No,Free,Web,WiFi,2.8,No
14,Male ,18-25,Rock,Family,Card,Yes,Premium,Android,4G,2.82,Yes
15,Male ,18-25,Rock,Premium,Auto-Debit,No,Family,Web,WiFi,3.95,Yes
16,Male ,18-25,Rock,Free,Card,No,Family,Android,WiFi,1.24,Yes
17,Male ,18-25,Classical,Family,UPI,No,Family,Android,4G,4.58,No
18,Male ,36-45,HipHop,Free,Card,No,Premium,Android,5G,2.59,No
19,Male ,36-45,Pop,Family,Auto-Debit,Yes,Premium,Android,WiFi,1.02,No
20,Male ,36-45,EDM,Family,Wallet,Yes,Free,Android,4G,2.07,Yes
21,Female,18-25,Jazz,Free,Auto-Debit,Yes,Free,Android,4G,4.62,No
22,Female,46+,HipHop,Free,UPI,Yes,Family,iOS,4G,2.39,Yes
23,Female,18-25,Jazz,Premium,Auto-Debit,Yes,Premium,Web,WiFi,4.37,Yes
24,Female,18-25,HipHop,Free,Card,No,Free,Android,5G,0.8,No
25,Female,26-35,HipHop,Family,Card,No,Family,iOS,WiFi,4.57,No
26,Female,18-25,Classical,Premium,Auto-Debit,Yes,Premium,Android,5G,2.15,No
27,Female,18-25,EDM,Premium,Card,Yes,Free,iOS,5G,4.68,Yes
28,Female,18-25,EDM,Premium,Card,No,Free,iOS,4G,4.33,No
29,Male ,18-25,Jazz,Premium,UPI,No,Free,Web,WiFi,3.3,No
30,Male ,18-25,Classical,Free,UPI,No,Free,Web,WiFi,3.36,Yes
31,Male ,18-25,EDM,Family,UPI,Yes,Family,Android,WiFi,1.06,No
32,Female,26-35,HipHop,Free,Wallet,No,Family,iOS,5G,3.01,Yes
33,Male ,26-35,HipHop,Free,Wallet,Yes,Free,Android,5G,2.75,Yes
34,Male ,36-45,Jazz,Premium,UPI,No,Premium,Web,WiFi,1.67,No
35,Male ,26-35,HipHop,Free,Auto-Debit,No,Premium,Web,WiFi,2.53,No
36,Male ,26-35,EDM,Free,Auto-Debit,Yes,Premium,Android,4G,4.65,No
37,Male ,46+,Rock,Family,Auto-Debit,No,Free,Android,4G,0.03,No
38,Female,18-25,Pop,Free,UPI,No,Free,iOS,WiFi,2.09,Yes
39,Female,18-25,Rock,Free,Wallet,No,Free,Android,WiFi,1.67,No
40,Male ,18-25,Classical,Premium,Card,Yes,Free,Android,4G,4.81,No
41,Male ,18-25,Rock,Family,Auto-Debit,Yes,Free,Android,5G,4.87,Yes
42,Male ,18-25,Jazz,Free,UPI,No,Free,Android,4G,2.93,No
43,Male ,26-35,Rock,Family,UPI,Yes,Free,Android,WiFi,2.75,Yes
44,Male ,46+,Jazz,Family,Card,No,Free,Android,WiFi,4.52,No
45,Male ,18-25,Classical,Premium,Wallet,Yes,Family,Android,4G,0.03,Yes
46,Female,18-25,Rock,Premium,Wallet,Yes,Premium,Android,5G,2.81,No
47,Female,18-25,Pop,Free,UPI,Yes,Free,Web,WiFi,0.12,No
48,Female,18-25,EDM,Free,Card,No,Family,iOS,WiFi,4.84,No
49,Female,46+,Classical,Premium,Wallet,Yes,Free,iOS,WiFi,1.6,No
50,Male ,18-25,Rock,Free,Card,Yes,Premium,Android,4G,2.6,Yes
51,Female,18-25,HipHop,Family,Card,Yes,Premium,iOS,4G,2.09,No
52,Male ,18-25,HipHop,Premium,UPI,No,Premium,Android,WiFi,4.47,No
53,Male ,46+,Classical,Family,Card,No,Free,iOS,4G,5,No
54,Female,36-45,HipHop,Premium,Card,No,Family,iOS,5G,0.34,No
